key,pt-br,en
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_template_viewport_content_item_item_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_quality_name,Quality,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_template_viewport_content_item_item_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_name,Resolution,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_template_viewport_content_item_item_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_name,Screen Mode,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_template_viewport_content_item_item_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_name,Shadow Quality,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_template_viewport_content_item_item_label,Option A,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_name,Texture Quality,
prefab.configshud_bg_videoconfigs_scroll_view_viewport_content_vsync_name,VSync,
prefab.co_blue_tooltip_text_tmp_,"Comandante
Peça de valor 5",
prefab.co_red_tooltip_text_tmp_,"Comandante
Peça de valor 5",
prefab.customizablecompositioncanvasandroid_description,Available on Android,
prefab.customizablecompositioncanvasandroid_features_text,Super cool feature!,
prefab.customizablecompositioncanvasandroid_features_text_1,Another feature!,
prefab.customizablecompositioncanvasandroid_features_text_2,One more feature!,
prefab.customizablecompositioncanvasandroid_title,Your Super Title,
prefab.customizablecompositioncanvasios_description,Available on iOS,
prefab.customizablecompositioncanvasios_features_text,Super cool feature!,
prefab.customizablecompositioncanvasios_features_text_1,Another feature!,
prefab.customizablecompositioncanvasios_features_text_2,One more feature!,
prefab.customizablecompositioncanvasios_title,Your Super Title,
prefab.customizableconfirmationcanvas_panel_action_buttons_no_button_text,No,
prefab.customizableconfirmationcanvas_panel_action_buttons_yes_button_text,Yes,
prefab.customizableconfirmationcanvas_panel_text,Permanently remove the picture from the device?,
prefab.customizablegallerycanvas_panel_closebutton_text,X,
prefab.customizablegallerycanvas_panel_nextbutton_text,>,
prefab.customizablegallerycanvas_panel_pagetext,1/1,
prefab.customizablegallerycanvas_panel_previousbutton_text,<,
prefab.customizablegallerycanvas_panel_title,Customizable Gallery,
prefab.customizablegreyboxcanvas_panel_action_buttons_button_text,Text,
prefab.customizablegreyboxcanvas_panel_action_buttons_delete_button_text,Delete,
prefab.customizablegreyboxcanvas_panel_action_buttons_share_button_text,Share,
prefab.customizablegreyboxcanvas_panel_closebutton_text,X,
prefab.customizablegreyboxcanvas_panel_name,Name,
prefab.customizablegreyboxcanvas_panel_nextbutton_text,>,
prefab.customizablegreyboxcanvas_panel_pagetext,1/1,
prefab.customizablegreyboxcanvas_panel_previousbutton_text,<,
prefab.customizablegreyboxcanvas_panel_title,Customizable Greybox,
prefab.customizablemessagetext,New Text,
prefab.customizableoverlaycanvas_bottomtext,Copyright www.YourGame.com,
prefab.customizablevalidationuicanvas_panel_panel_cancel_button_text,Discard,
prefab.customizablevalidationuicanvas_panel_panel_confirm_button_text,Save,
prefab.customizablevalidationuicanvas_panel_panel_share_button_text,Share,
prefab.customizablevalidationuicanvas_panel_text,Do you want to save that screenshot?,
prefab.dialoguebox_box_name,New Text,
prefab.dialoguebox_box_text,New Text,
prefab.enemyprofile_name,Rei Azul,
prefab.enemyprofile_points,1500,
prefab.es_blue_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
prefab.es_red_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
prefab.formlobby_btnstartgame_text_legacy_,Start Game,
prefab.formlobby_lblroomname,Room name,
prefab.gamemenuexamplecanvas_centerpanel_button_text,START,
prefab.gu_blue_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
prefab.gu_red_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
prefab.la_blue_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
prefab.la_red_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
prefab.lobbyitem_join_text_legacy_,JOIN,
prefab.lobbyitem_name,Lobby Teste,
prefab.minimapcellprefab_text_tmp_,1,
prefab.playerprofile_name,Name,
prefab.playerprofile_points,Points,
prefab.rankingcontentprefab_nick,ASDAS,
prefab.rankingcontentprefab_pontuation,1,
prefab.rankingcontentprefab_position,0,
prefab.screenshotcutterexample_selectionarea_text,SCREENSHOT AREA,
prefab.sm_blue_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
prefab.sm_red_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
prefab.sp_blue_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
prefab.sp_red_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
prefab.te_blue_tooltip_text_tmp_,"Tesouro
Se o inimigo encontrar seu tesouro você perde",
prefab.te_red_tooltip_text_tmp_,"Tesouro
Se o inimigo encontrar seu tesouro você perde",
prefab.timer_text_tmp_,New Text,
prefab.timer_timertext,01:00,
prefab.tooltip_text_tmp_,Ande quantas casa quiser na vertical ou na horizontal,
prefab.view_disconnection_root_titlelabel,Disconnected from server,
prefab.view_lobby_selection_root_bottonbuttons_horizontal_group_lobby_list_lobbieslist_label,Lobbies,
prefab.view_lobby_selection_root_bottonbuttons_horizontal_group_lobby_list_refreshlobbies_background_label,Refresh Lobbies,
prefab.view_lobby_selection_root_controls_lobbycreationroot_createlobby_background_label,Create Lobby,
prefab.view_lobby_selection_root_controls_lobbycreationroot_lobbyname_label,Lobby Name,
prefab.view_lobby_selection_root_controls_lobbycreationroot_lobbyname_lobbyname_placeholder,Lobby Name,
prefab.view_lobby_selection_root_title_titlelabel,Loobies,
prefab.view_mode_selection_root_bottonbuttons_horizontal_group_startclient_background_label,Start Cllient,
prefab.view_mode_selection_root_bottonbuttons_horizontal_group_startserver_background_label,Start Server,
prefab.view_mode_selection_root_controls_addressinfo_ipaddress_placeholder,IP Address...,
prefab.view_mode_selection_root_controls_addressinfo_ipaddress_text_legacy_,127.0.0.1,
prefab.view_mode_selection_root_controls_addressinfo_label,IP Address,
prefab.view_mode_selection_root_controls_loginroot_passwordinfo_label,Password,
prefab.view_mode_selection_root_controls_loginroot_passwordinfo_password_placeholder,password,
prefab.view_mode_selection_root_controls_loginroot_passwordinfo_password_text_legacy_,********,
prefab.view_mode_selection_root_controls_loginroot_usernameinfo_label,UserName,
prefab.view_mode_selection_root_controls_loginroot_usernameinfo_username_placeholder,Password,
prefab.view_mode_selection_root_controls_loginroot_usernameinfo_username_text_legacy_,username,
prefab.view_mode_selection_root_title_titlelabel,Connection,
prefab.view_statistics_root_addressinfo_ipaddress,127.0.0.1,
prefab.view_statistics_root_addressinfo_ipaddresslabel,Public IP Address,
prefab.view_statistics_root_addresslocalinfo_ipaddress,127.0.0.1,
prefab.view_statistics_root_addresslocalinfo_ipaddresslabel,Local IP Address,
prefab.view_statistics_root_latencyinfo_latency,"10
",
prefab.view_statistics_root_latencyinfo_latencylabel,Ping,
prefab.view_statistics_root_natstatusinfo_natstatus,Unknow,
prefab.view_statistics_root_natstatusinfo_natstatuslabel,Nat Avaiable,
tutorialscene.canvas_dialoguebox_box_name,New Text,
tutorialscene.canvas_dialoguebox_box_text,New Text,
tutorialscene.canvas_timer_timerbox_text_tmp_,New Text,
tutorialscene.canvas_timer_timerbox_timertext,01:00,
